,Match #,Team #,Position,Scouter,AutoMobilitySuccess,AutoDockedSuccess,AutoEngagedSuccess,TeleopPancakeSuccess,TeleopDriverQuality1,TeleopDriverQuality2,TeleopDriverQuality3,TeleopDriverQuality4,TeleopDriverQuality5,TeleopMechanicalReliability1,TeleopMechanicalReliability2,TeleopMechanicalReliability3,TeleopMechanicalReliability4,TeleopMechanicalReliability5,TeleopDisqualifiedSuccess,TeleopSingleSubstationSuccess,AutoHighNodeCone_1,AutoHighNodeCube_2,AutoHighNodeCone_3,AutoHighNodeCone_4,AutoHighNodeCube_5,AutoHighNodeCone_6,AutoHighNodeCone_7,AutoHighNodeCube_8,AutoHighNodeCone_9,AutoMidNodeCone_1,AutoMidNodeCube_2,AutoMidNodeCone_3,AutoMidNodeCone_4,AutoMidNodeCube_5,AutoMidNodeCone_6,AutoMidNodeCone_7,AutoMidNodeCube_8,AutoMidNodeCone_9,AutoLowNodeCube_1,AutoLowNodeCone_1,AutoLowNodeCube_2,AutoLowNodeCone_2,AutoLowNodeCube_3,AutoLowNodeCone_3,AutoLowNodeCube_4,AutoLowNodeCone_4,AutoLowNodeCube_5,AutoLowNodeCone_5,AutoLowNodeCube_6,AutoLowNodeCone_6,AutoLowNodeCube_7,AutoLowNodeCone_7,AutoLowNodeCube_8,AutoLowNodeCone_8,AutoLowNodeCube_9,AutoLowNodeCone_9,TeleopHighNodeCone_1,TeleopHighNodeCube_2,TeleopHighNodeCone_3,TeleopHighNodeCone_4,TeleopHighNodeCube_5,TeleopHighNodeCone_6,TeleopHighNodeCone_7,TeleopHighNodeCube_8,TeleopHighNodeCone_9,TeleopMidNodeCone_1,TeleopMidNodeCube_2,TeleopMidNodeCone_3,TeleopMidNodeCone_4,TeleopMidNodeCube_5,TeleopMidNodeCone_6,TeleopMidNodeCone_7,TeleopMidNodeCube_8,TeleopMidNodeCone_9,TeleopLowNodeCube_1,TeleopLowNodeCone_1,TeleopLowNodeCube_2,TeleopLowNodeCone_2,TeleopLowNodeCube_3,TeleopLowNodeCone_3,TeleopLowNodeCube_4,TeleopLowNodeCone_4,TeleopLowNodeCube_5,TeleopLowNodeCone_5,TeleopLowNodeCube_6,TeleopLowNodeCone_6,TeleopLowNodeCube_7,TeleopLowNodeCone_7,TeleopLowNodeCube_8,TeleopLowNodeCone_8,TeleopLowNodeCube_9,TeleopLowNodeCone_9,EndgameDockedSuccess,EndgameEngagedSuccess,EndgameParkSuccess,EndgameTripleBalanceSuccess,TeleopTeamworkSuccess,TeleopPenaltiesSuccess,MiscTippedConesSuccess,MiscDropPiecesSuccess,TeleopDefenseAbility1,TeleopDefenseAbility2,TeleopDefenseAbility3,TeleopDefenseAbility4,TeleopDefenseAbility5,TeleopDoubleSubstationSuccess,AutoDNAChargeSuccess,InfoPositionBlue,InfoPositionRed,InfoPosition1,InfoPosition2,InfoPosition3,AutoMissedPiecesSuccess
0,1,5024,Blue 1,Aarush,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,
1,1,5618,Blue 2,Anvitha,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,
2,1,4988,Blue 3,Erica,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,
3,1,2539,Red 1,Gauri,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,
4,1,5411,Red 2,Isaac,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,
5,1,1414,Red 3,Akarsh,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,
6,2,4122,Blue 1,Aarush,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
7,2,930,Blue 2,Anvitha,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
8,2,2635,Blue 3,Erica,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False
9,2,3668,Red 1,Gauri,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
